nazwa,ilosc,prog_alertu,lokalizacja,cena
Wkrętarka Bosch,10,3,Regał A1,299.99
Młotek Stanley,5,2,Regał B2,49.5
Piła ręczna,2,3,Regał C1,79.9
Miarka 5m,15,5,Regał D3,19.99
Poziomica 60cm,7,2,Regał A2,39.99
Klucz francuski,6,2,Regał B1,55.0
Zestaw bitów,20,10,Regał C3,34.99
Latarka LED,4,3,Regał D1,24.99
Wiertło SDS 10mm,12,4,Regał A3,14.5
Rękawice robocze,25,10,Regał B4,9.99
Szczypce uniwersalne,3,3,Regał C2,29.99
Śrubokręt krzyżowy,8,3,Regał D2,19.9
Nożyk introligatorski,10,4,Regał A4,12.0
Klej montażowy,6,2,Regał B3,17.49
Taśma izolacyjna,18,5,Regał C4,6.49
